map 0.05 50 10 3
ObsCylinder 9.24905 2.76307 0 3 0.229858
ObsCylinder 14.8947 2.45017 0 3 0.244203
ObsCylinder 40.7894 8.76557 0 3 0.255782
ObsCylinder 37.3578 5.15465 0 3 0.220783
ObsCylinder 45.5414 2.60744 0 3 0.215038
ObsCylinder 6.52033 8.82806 0 3 0.258226
ObsCylinder 17.0647 5.65802 0 3 0.210785
ObsCylinder 30.7642 3.84701 0 3 0.221789
ObsCylinder 35.1712 2.6312 0 3 0.287442
ObsCylinder 28.937 7.45167 0 3 0.249912
ObsCylinder 11.9401 5.94627 0 3 0.250407
ObsCylinder 18.6746 6.03763 0 3 0.203672
ObsCylinder 9.25258 1.27493 0 3 0.219139
ObsCylinder 41.5832 4.00841 0 3 0.261053
ObsCylinder 24.6106 5.39179 0 3 0.222348
ObsCylinder 6.92753 1.83534 0 3 0.209261
ObsCylinder 22.1401 7.57446 0 3 0.267115
ObsCylinder 38.6388 2.64465 0 3 0.212751
ObsCylinder 33.825 5.13062 0 3 0.280503
ObsCylinder 10.1309 8.78512 0 3 0.244301
ObsCylinder 17.3956 1.81181 0 3 0.202184
ObsCylinder 31.5143 2.24165 0 3 0.274909
ObsCylinder 27.6831 2.41857 0 3 0.251594
ObsCylinder 42.8513 2.00258 0 3 0.246064
ObsCylinder 15.908 4.95343 0 3 0.255402
ObsCylinder 30.7251 5.43544 0 3 0.233139
ObsCylinder 46.6184 4.83953 0 3 0.287394
ObsCylinder 29.2716 4.85885 0 3 0.222367
ObsCylinder 7.67915 6.76707 0 3 0.227448
ObsCylinder 18.6435 8.36615 0 3 0.22794
ObsCylinder 40.2004 6.31644 0 3 0.238051
ObsCylinder 8.43702 8.26725 0 3 0.207713
ObsCylinder 38.4468 6.39976 0 3 0.257024
ObsCylinder 17.3543 8.88009 0 3 0.211733
ObsCylinder 21.2262 4.7623 0 3 0.244959
ObsCylinder 38.8035 8.14277 0 3 0.236602
ObsCylinder 9.85951 4.12095 0 3 0.264883
ObsCylinder 12.0855 1.5578 0 3 0.224526
ObsCylinder 5.10523 7.66893 0 3 0.267461
ObsCylinder 33.0353 7.74156 0 3 0.277678
ObsCylinder 43.6683 5.5163 0 3 0.245777
ObsCylinder 26.7084 6.25848 0 3 0.287537
ObsCylinder 19.8939 1.59786 0 3 0.251972
ObsCylinder 12.8642 3.59452 0 3 0.25095
ObsCylinder 36.3246 3.46478 0 3 0.230265
ObsCylinder 38.5173 3.98027 0 3 0.271317
ObsCylinder 7.43518 4.04308 0 3 0.262709
ObsCylinder 42.6117 6.52025 0 3 0.215035
ObsCylinder 29.1512 6.11707 0 3 0.214467
ObsCylinder 24.6332 7.78732 0 3 0.204867
ObsCylinder 24.0104 1.44852 0 3 0.251392
ObsCylinder 34.3504 3.93735 0 3 0.213879
ObsCylinder 25.4268 2.19994 0 3 0.282136
ObsCylinder 44.4931 8.2204 0 3 0.20245
ObsCylinder 17.3639 7.02251 0 3 0.21965
ObsCylinder 8.5997 5.04697 0 3 0.28426
ObsCylinder 3.0105 7.97702 0 3 0.23809
ObsCylinder 14.3531 7.84893 0 3 0.204783
ObsCylinder 21.1794 1.40994 0 3 0.210354
ObsCylinder 46.7561 6.28383 0 3 0.243399
ObsCylinder 28.2939 3.56034 0 3 0.233931
ObsCylinder 20.7086 7.85521 0 3 0.292769
ObsCylinder 19.1716 4.40929 0 3 0.281733
ObsCylinder 32.1675 3.80688 0 3 0.291362
ObsCylinder 30.3433 7.10263 0 3 0.268685
ObsCylinder 9.11638 6.78843 0 3 0.22371
ObsCylinder 23.3509 5.80325 0 3 0.203438
ObsCylinder 35.999 6.83538 0 3 0.285677
ObsCylinder 17.5624 3.63563 0 3 0.279376
ObsCylinder 21.0192 2.9411 0 3 0.255197
ObsCylinder 35.5005 1.28007 0 3 0.265581
ObsCylinder 22.9775 3.36168 0 3 0.294909
ObsCylinder 3.98859 3.83077 0 3 0.251623
ObsCylinder 2.9788 2.60744 0 3 0.294777
